connoter	connotation	V:N	-ation
adjective	adjectival	ADJ:ADJ	-al
patron	patronage	N:N	-age
abattre	abattoir	V:N	-oir
axial	abaxial	ADJ:ADJ	ab-
abjurer	abjuration	V:N	-ation
jurer	abjurer	V:V	ab-
lactation	ablactation	N:N	ab-
abreuver	abreuvoir	V:N	-oir
absent	absenter	ADJ:V	-er
absorber	absorbable	V:ADJ	-able
abus	abuser	N:V	-er
accepter	acceptation	V:N	-ation
accorder	accordable	V:ADJ	-able
accord	accorder	N:V	-er
accoster	accostable	V:ADJ	-able
observer	observateur	V:ADJ	-ateur
moral	amoral	ADJ:ADJ	a-
bras	brassière	N:N	-ière
globaliser	globalisation	V:N	-ation
polluer	pollution	V:N	-tion
lapider	lapidation	V:N	-ation
musique	musical	N:ADJ	-al
route	router	N:V	-er
angle	triangle	N:N	tri-
amuser	amusement	V:N	-ment
brocher	brochure	V:N	-ure
gaffe	gaffer	N:V	-er
bouter	bouton	V:N	-on
éventuel	éventuellement	ADJ:ADV	-ment
abattre	abattis	V:N	-is
natte	natter	N:V	-er
centre	central	N:ADJ	-al
verbe	verbal	N:ADJ	-al
bourg	bourgeois	N:ADJ	-ois
fer	ferret	N:N	-et
cœur	courage	N:N	-age
rat	rate	N:N	-e
observer	observation	V:N	-ation
constituer	constitution	V:N	-tion
civiliser	civilisation	V:N	-ation
Andorre	Andorran	N:N	-an
masser	massage	V:N	-age
masser	masseur	V:N	-eur
variable	invariable	ADJ:ADJ	in-
masturber	masturbation	V:N	-ation
corne	cornet	N:N	-et
putt	putter	N:V	-er
occuper	occupation	V:N	-ation
passer	passage	V:N	-age
nuer	nuance	V:N	-ance
cycle	bicycle	N:N	bi-
bicycle	bicyclette	N:N	-ette
cigare	cigarette	N:N	-ette
litre	millilitre	N:N	milli-
roumain	Roumanie	ADJ:N	-ie
modal	intermodal	ADJ:ADJ	inter-
voyage	voyager	N:V	-er
acclimater	acclimatable	V:ADJ	-able
acclimater	acclimatement	V:N	-ment
halluciner	hallucination	V:N	-ation
maintenir	maintenance	V:N	-ance
greter	regret	N:N	re-
protester	protestant	V:ADJ	-ant
jambe	jambon	N:N	-on
accréditer	accréditation	V:N	-ation
ban	banal	N:ADJ	-al
accoucher	accouchement	V:N	-ment
accoupler	accouplement	V:N	-ment
chute	parachute	N:N	para-
viole	violon	N:N	-on
gramme	kilogramme	N:N	kilo-
Mahoré	Mahorais	N:N	-ais
cycle	tricycle	N:N	tri-
acharner	acharnement	V:N	-ment
coller	collage	V:N	-age
barbe	barber	N:V	-er
abrupt	abruptement	ADJ:ADV	-ment
buste	bustier	N:N	-ier
mat	mater	ADJ:V	-er
gouge	goujon	N:N	-on
anus	anal	N:ADJ	-al
exact	exactitude	ADJ:N	-itude
mobile	automobile	ADJ:ADJ	auto-
canne	canon	N:N	-on
glotte	glottal	N:ADJ	-al
douze	douzaine	N:N	-aine
cent	centaine	N:N	-aine
cinquante	cinquantaine	N:N	-aine
dix	dizaine	N:N	-aine
huit	huitaine	N:N	-aine
quarante	quarantaine	N:N	-aine
quinze	quinzaine	N:N	-aine
soixante	soixantaine	N:N	-aine
trente	trentaine	N:N	-aine
vingt	vingtaine	N:N	-aine
fertile	fertiliser	ADJ:V	-iser
masse	massif	N:N	-if
adapter	adaptable	V:ADJ	-able
lier	liaison	V:N	-aison
maraud	marauder	N:V	-er
saboter	sabotage	V:N	-age
saboter	saboteur	V:N	-eur
agiter	agitation	V:N	-ation
allier	alliance	V:N	-ance
aller	allure	V:N	-ure
point	pointer	N:V	-er
chandelle	chandelier	N:N	-ier
annihiler	annihilation	V:N	-ation
centurie	centurion	N:N	-on
insecte	insecticide	N:N	-cide
herbe	herbicide	N:N	-cide
peste	pesticide	N:N	-cide
arc	arcade	N:N	-ade
toast	toaster	N:V	-er
taxer	taxation	V:N	-ation
ester	stage	V:N	-age
manufacture	manufacturer	N:V	-er
anticonstitutionnel	anticonstitutionnellement	ADJ:ADV	-ment
peste	pester	N:V	-er
